cu_name,address1,city,state,zipcode,new_name,cu_name
LES FEDERAL CREDIT UNION,950 N 22nd Street  Suite C,Baton Rouge,Louisiana,70802,,LOCAL GOVERNMENT FEDERAL CREDIT UNION
LEWIS CLARK CREDIT UNION,1626 17th St,Lewiston,Idaho,83501,,LOUISIANA FEDERAL CREDIT UNION
LOCAL GOVERNMENT FEDERAL CREDIT UNION,323 West Jones Street  Suite 600,Raleigh,North Carolina,27603,,LOWER EAST SIDE PEOPLES FEDERAL CREDIT UNION
LOUISIANA FEDERAL CREDIT UNION,805 Robin Street,LaPlace,Louisiana,70068,,LOWER VALLEY CREDIT UNION
LOWER EAST SIDE PEOPLES FEDERAL CREDIT UNION,37 Avenue B,New York,New York,10009,,MAC FEDERAL CREDIT UNION
LOWER VALLEY CREDIT UNION,900 Yakima Valley Highway,Sunnyside,Washington,98944,,MAGNIFY CREDIT UNION
MAC FEDERAL CREDIT UNION,3700 Santiago,Fort Wainwright,Alaska,99703,,MAGNOLIA FEDERAL CREDIT UNION
MAGNIFY CREDIT UNION,PO Box 427,Mulberry,Florida,33860,,MANATEE COMMUNITY FEDERAL CREDIT UNION
MAGNOLIA FEDERAL CREDIT UNION,240 Briarwood Drive,Jackson,Mississippi,39206,,MARISOL FEDERAL CREDIT UNION
MANATEE COMMUNITY FEDERAL CREDIT UNION,604 13th Ave. East,Bradenton,Florida,34208,,MAZUMA CREDIT UNION
MARISOL FEDERAL CREDIT UNION,721 N. Third Street  PO BOX 20525,Phoenix,Arizona,85004,,MCCONE COUNTY FEDERAL CREDIT UNION
MAZUMA CREDIT UNION,7260 West 135th Street,Overland Park,Kansas,66223,,MECU OF BALTIMORE INC.
MCCONE COUNTY FEDERAL CREDIT UNION,PO Box 79,Circle,Montana,59215,,"MEMBERS """"FIRST"""" CREDIT UNION"
MECU OF BALTIMORE INC.,7 East  Redwood Street,Baltimore,Maryland,21202,,MEMBERS EXCHANGE CREDIT UNION
"MEMBERS """"FIRST"""" CREDIT UNION",1201 N. 24th St,Quincy,Illinois,62301,,MENDO LAKE CREDIT UNION
MEMBERS EXCHANGE CREDIT UNION,107 Marketridge Drive,Ridgeland,Mississippi,39157,,MIAMI POSTAL SERVICE CREDIT UNION
MENDO LAKE CREDIT UNION,526 S. State Street,Ukiah,California,95482,,MID MINNESOTA FEDERAL CREDIT UNION
MIAMI POSTAL SERVICE CREDIT UNION,2190 NW 72nd Ave,Miami,Florida,33122,,MID OREGON FEDERAL CREDIT UNION
MID MINNESOTA FEDERAL CREDIT UNION,13283 Isle Dr,Baxter,Minnesota,56425,,MISSOULA FEDERAL CREDIT UNION
MID OREGON FEDERAL CREDIT UNION,PO Box 6749,Bend,Oregon,97708,,MOLOKAI COMMUNITY FEDERAL CREDIT UNION
MISSOULA FEDERAL CREDIT UNION,3600 Brooks,Missoula,Montana,59801,,MOUNTAIN STAR FEDERAL CREDIT UNION
MOLOKAI COMMUNITY FEDERAL CREDIT UNION,P.O. Box 1888  135 Puali Place,Kaunakakai,Hawaii,96748,,MOUNTAIN WEST FCU
MOUNTAIN STAR FEDERAL CREDIT UNION,2229 E Yandell,El Paso,Texas,79903,,MT. ZION FEDERAL CREDIT UNION
MOUNTAIN WEST FCU,400 E Park,Butte,Montana,59701,,NATCO CREDIT UNION
MT. ZION FEDERAL CREDIT UNION,3549 N. Boulevard Place,Indianapolis,Indiana,46208,,NEIGHBORHOOD TRUST FEDERAL CREDIT UNION
NATCO CREDIT UNION,PO Box 817,Richmond,Indiana,47375,,NEW COMMUNITY FEDERAL CREDIT UNION
NEIGHBORHOOD TRUST FEDERAL CREDIT UNION,1112 St Nicholas Ave,New York,New York,10032,,NEW COVENANT DOMINION FEDERAL CREDIT UNION
NEW COMMUNITY FEDERAL CREDIT UNION,274 South Orange Avenue,Newark,New Jersey,7103,,NEW HORIZON FEDERAL CREDIT UNION
NEW COVENANT DOMINION FEDERAL CREDIT UNION,1185 Boston Road,Bronx,New York,10456,,NEW YORK UNIVERSITY FCU
NEW HORIZON FEDERAL CREDIT UNION,180 2nd St SW,Barberton,Ohio,44203,,NEWPORT NEWS SHIPBUILDING EMPLOYEES CREDIT UNION D/B/A BAYPORT CREDIT UNION
NEW YORK UNIVERSITY FCU,"726 Broadway, Suite 110",New York,New York,10003,,NEWRIZONS FEDERAL CREDIT UNION
NEWPORT NEWS SHIPBUILDING EMPLOYEES CREDIT UNION D/B/A BAYPORT CREDIT UNION,1 BayPort Way Ste 350,Newport News,Virginia,23606,,NORSTATE FEDERAL CREDIT UNION
NEWRIZONS FEDERAL CREDIT UNION,120 Firman Street,Hoquiam,Washington,98550,,NORTH CAROLINA COMMUNITY FEDERAL CREDIT UNION
NORSTATE FEDERAL CREDIT UNION,78 Fox St,Madawaska,Maine,4756,,NORTH COAST CREDIT UNION
